,Station Name,Neighbourhood
0,Fort York  Blvd / Capreol Ct,Waterfront Communities-The Island 
1,Wellesley Station Green P,Church-Yonge Corridor 
2,St. George St / Bloor St W,University 
3,Madison Ave / Bloor St W,Annex 
4,University Ave / Elm St,Kensington-Chinatown 
5,King St W / York St,Bay Street Corridor 
6,Bay St / College St (East Side),Bay Street Corridor 
7,College St / Huron St,Kensington-Chinatown 
8,Wellesley St / Queen's Park Cres,Bay Street Corridor 
9,King St E / Jarvis St,Church-Yonge Corridor 
10,King St W / Spadina Ave,Waterfront Communities-The Island 
11,Wellington St W / Portland St,Waterfront Communities-The Island 
12,Elizabeth St / Edward St (Bus Terminal),Bay Street Corridor 
13,Scott St / The Esplanade,Waterfront Communities-The Island 
14,Sherbourne St / Carlton St (Allan Gardens),Moss Park 
15,King St W / Bay St (West Side),Bay Street Corridor 
16,Bay St / Queens Quay W (Ferry Terminal),Waterfront Communities-The Island 
17,Widmer St / Adelaide St W,Waterfront Communities-The Island 
18,Bremner Blvd / Rees St,Waterfront Communities-The Island 
19,Temperance St. Station,Bay Street Corridor 
20,Phoebe St / Spadina Ave,Kensington-Chinatown 
21,Bay St / Albert St,Bay Street Corridor 
22,Simcoe St / Queen St W,Bay Street Corridor 
23,College St / Borden St,University 
24,Dundonald St / Church St,Church-Yonge Corridor 
25,Ted Rogers Way / Bloor St E,Church-Yonge Corridor 
26,Bay St / St. Joseph St,Bay Street Corridor 
27,Beverley  St / Dundas St W,Kensington-Chinatown 
28,Gould St / Mutual St,Church-Yonge Corridor 
29,Bay St / Bloor St W (East Side),Bay Street Corridor 
30,Bay St / Wellesley St W,Bay Street Corridor 
31,Jarvis St / Isabella St,North St.James Town 
32,Augusta Ave / Dundas St W,Kensington-Chinatown 
33,Union Station,Waterfront Communities-The Island 
34,Church St / Bloor St E,Rosedale-Moore Park 
35,Queen St W / Ossington Ave,Niagara 
36,Trinity St /Front St E,Waterfront Communities-The Island 
37,Bathurst St / Dundas St W,Kensington-Chinatown 
38,Dundas St W / Yonge St,Bay Street Corridor 
39,Simcoe St / Michael Sweet Ave,Kensington-Chinatown 
40,Euclid Ave / Bloor St W,Annex 
41,Edward St / Yonge St,Bay Street Corridor 
42,Sherbourne St / Wellesley St E,North St.James Town 
43,Queens Quay W / Lower Simcoe St,Waterfront Communities-The Island 
44,Church St / Alexander St,Church-Yonge Corridor 
45,Bond St / Queen St E,Church-Yonge Corridor 
46,Niagara St / Richmond St W,Niagara 
47,University Ave / Gerrard St W (East Side),Bay Street Corridor 
48,Front St W / Yonge St (Hockey Hall of Fame),Waterfront Communities-The Island 
49,Queen St W / Portland St,Waterfront Communities-The Island 
50,Richmond St E / Jarvis St Green P,Church-Yonge Corridor 
51,Wellington St W / Bay St,Bay Street Corridor 
52,Metro Hall Plaza,Waterfront Communities-The Island 
53,Navy Wharf Ct. / Bremner Blvd.,Waterfront Communities-The Island 
54,Jarvis St / Carlton St,Moss Park 
55,Parliament St / Gerrard St,Regent Park 
56,Simcoe St / Wellington St South,Bay Street Corridor 
57,Huron/ Harbord St,University 
58,Front St W / Blue Jays Way,Waterfront Communities-The Island 
59,Princess St / Adelaide St E,Moss Park 
60,Dalton Rd / Bloor St W,Annex 
61,University Ave / College St (West),Kensington-Chinatown 
62,Queen's Park / Bloor St W,Bay Street Corridor 
63,51 Parliament St,Moss Park 
64,Dundas St E / Parliament St,Regent Park 
65,Willcocks St / St. George St,University 
66,Yonge St / Harbour St,Waterfront Communities-The Island 
67,Blantyre Park,Birchcliffe-Cliffside 
68,Queen St W / Spadina Ave,Kensington-Chinatown 
69,25 York St – Union Station South,Waterfront Communities-The Island 
70,161 Bleecker St (South of Wellesley),Cabbagetown-South St.James Town 
71,Fleet St / Bathurst St,Niagara 
72,Spadina Ave / Fort York Blvd,Waterfront Communities-The Island 
73,King St E / Church St,Church-Yonge Corridor 
74,Queens Quay W / Dan Leckie Way,Waterfront Communities-The Island 
75,York St / Queens Quay W,Waterfront Communities-The Island 
76,College Park South,Bay Street Corridor 
77,College St / Major St,University 
78,McGill St / Church St,Church-Yonge Corridor 
79,Danforth Ave / Barrington Ave,East End-Danforth 
80,High Park - Grenadier Cafe,High Park-Swansea 
81,Danforth Ave / Westlake Ave,East End-Danforth 
82,High Park - West Rd,High Park-Swansea 
83,Danforth Ave / Aldridge Ave,Woodbine Corridor 
84,Danforth Ave / Coxwell Ave,Woodbine Corridor 
85,Church St  / Wood St,Church-Yonge Corridor 
86,Danforth Ave / Lamb Ave,Greenwood-Coxwell 
87,Donlands Station,Danforth 
88,Pape Subway Green P,Danforth 
89,Danforth Ave / Gough Ave,North Riverdale 
90,Chester Station,Playter Estates-Danforth 
91,Danforth Ave / Ellerbeck St,Playter Estates-Danforth 
92,Lower Don River Trail and Taylor Creek Trail,Old East York 
93,Riverdale Park North (Broadview Ave),North Riverdale 
94,Riverdale Park South (Broadview Ave),North Riverdale 
95,Cherry St / Mill St,Waterfront Communities-The Island 
96,Dundas St E / Regent Park Blvd,Regent Park 
97,Lower Sherbourne St / The Esplanade,Waterfront Communities-The Island 
98,Nelson St / Duncan St,Waterfront Communities-The Island 
99,Jimmie Simpson Park (Queen St E),South Riverdale 
100,King St E / River St,Moss Park 
101,Queen St E / Sackville St,Moss Park 
102,Mill St / Tannery Rd,Waterfront Communities-The Island 
103,Cherry St / Distillery Ln,Waterfront Communities-The Island 
104,Front St E / Cherry St,Waterfront Communities-The Island 
105,Seaton St / Dundas St E - SMART,Moss Park 
106,Queen St E / Berkeley St,Moss Park 
107,King St W / Douro St,Niagara 
108,Liberty St / Fraser Ave Green P,South Parkdale 
109,Parliament St / Aberdeen Ave,Cabbagetown-South St.James Town 
110,Carlton St / Parliament St,Cabbagetown-South St.James Town 
111,Howard St / Sherbourne St,North St.James Town 
112,640 Bloor Street E,Rosedale-Moore Park 
113,King St W / Bay St (East Side),Bay Street Corridor 
114,Sumach St / Carlton St. (Riverdale Farm),Cabbagetown-South St.James Town 
115,Gerrard St E / River St,Cabbagetown-South St.James Town 
116,Jarvis St / Dundas St E,Church-Yonge Corridor 
117,Niagara St / Tecumseth St,Niagara 
118,424 Wellington St W,Waterfront Communities-The Island 
119,Dundas St E / Broadview Ave,South Riverdale 
120,Yonge St / Yorkville Ave,Annex 
121,Bay St / Scollard St,Annex 
122,Yonge St / Aylmer Ave,Rosedale-Moore Park 
123,Davenport Rd / Avenue Rd,Annex 
124,Davenport Rd / Bedford Rd,Annex 
125,Taddle Creek Park,Annex 
126,Kendal Ave / Spadina Rd,Annex 
127,Summerhill Station,Rosedale-Moore Park 
128,Marlborough Ave / Yonge St,Annex 
129,Hanna Ave / Liberty St,Niagara 
130,Queen St W / Close Ave,South Parkdale 
131,Davenport Rd / Bathurst St,Wychwood 
132,Davenport Rd / Christie St,Wychwood 
133,Glen Edyth Dr / Davenport Rd,Casa Loma 
134,Macpherson Ave / Spadina Rd,Casa Loma 
135,Bridgeman Ave / Kendal Ave,Casa Loma 
136,Bridgeman Ave / Bathurst St,Casa Loma 
137,Kendal Ave / Bernard Ave,Annex 
138,Palmerston Ave / Vermont Ave,Annex 
139,Christie St / Benson Ave (Wychwood Barns),Wychwood 
140,King St W / Fraser Ave,South Parkdale 
141,King St W / Joe Shuster Way,South Parkdale 
142,Yarmouth Rd / Christie St,Annex 
143,Dufferin St / Sylvan Av (Dufferin Grove Park),Dufferin Grove 
144,Essex St / Christie St - SMART,Annex 
145,Ossington Ave / Bloor St W,Palmerston-Little Italy 
146,Bloor St W / Christie St,Dovercourt-Wallace Emerson-Junction 
147,Bathurst Subway Station,Annex 
148,Bathurst St / Lennox St,University 
149,Salem Ave / Bloor St W,Dovercourt-Wallace Emerson-Junction 
150,Dufferin St / Bloor St,Dovercourt-Wallace Emerson-Junction 
151,King St W / Stafford St,Niagara 
152,King St W / Tecumseth St,Niagara 
153,Beverley St / College St,Kensington-Chinatown 
154,Hayter St / Laplante Ave,Bay Street Corridor 
155,Yonge St / Wood St,Church-Yonge Corridor 
156,Gould St / Yonge St (Ryerson University),Church-Yonge Corridor 
157,Queen St E / George St (Moss Park),Moss Park 
158,Queens Quay / Yonge St,Waterfront Communities-The Island 
159,Front St W / Bay St (North Side),Bay Street Corridor 
160,Spadina Ave / Willcocks St,University 
161,Ontario Place Blvd / Lake Shore Blvd W (East),Niagara 
162,Strachan Ave / Princes' Blvd,Niagara 
163,Cariboo St / Rail Path,Dovercourt-Wallace Emerson-Junction 
164,Bloor St W / Dundas St W,Roncesvalles 
165,HTO Park (Queens Quay W),Waterfront Communities-The Island 
166,Bathurst St / Fort York Blvd,Waterfront Communities-The Island 
167,East Liberty St / Pirandello St,Niagara 
168,Dundas St W / Edna Ave,High Park North 
169,Bloor GO / UP Station (West Toronto Railpath),Dovercourt-Wallace Emerson-Junction 
170,Lansdowne Subway Station,Dovercourt-Wallace Emerson-Junction 
171,Lansdowne Ave / Whytock Ave,Dufferin Grove 
172,Sterling Rd / Dundas St W,Dufferin Grove 
173,St Clarens Ave / College St,Dufferin Grove 
174,Ossington Ave / College St,Palmerston-Little Italy 
175,Exhibition GO (Atlantic Ave),Niagara 
176,Augusta Ave / Denison Sq,Kensington-Chinatown 
177,St. George St / Hoskin Ave,University 
178,Central Tech  (Harbord St),University 
179,Harbord St / Clinton St,Palmerston-Little Italy 
180,Queen St W / Gladstone Ave,Little Portugal 
181,Mortimer Ave / Coxwell Ave,Danforth East York 
182,Ulster St / Bathurst St,University 
183,Roxton Rd / Harbord St,Palmerston-Little Italy 
184,Queen St W / Dovercourt Rd,Little Portugal 
185,Queen St W / Cowan Ave,South Parkdale 
186,College St / Markham St,Palmerston-Little Italy 
187,Queen St W / York St (City Hall),Bay Street Corridor 
188,Bathurst St/Queens Quay(Billy Bishop Airport),Niagara 
189,College St / Crawford St,Trinity-Bellwoods 
190,Rusholme Park Cres / College St,Little Portugal 
191,Claremont St / Dundas St W,Trinity-Bellwoods 
192,Dundas St W / Crawford St,Trinity-Bellwoods 
193,80 Clinton St (North of College),Palmerston-Little Italy 
194,Ossington Ave / Harrison St,Trinity-Bellwoods 
195,Mary McCormick Rec Centre (Sheridan Ave),Little Portugal 
196,Fort York Blvd / Garrison Rd,Niagara 
197,Wellington St W / Stafford St,Niagara 
198,Soho St / Queen St W,Kensington-Chinatown 
199,Lake Shore Blvd W / Ellis Ave,South Parkdale 
200,High Park Subway Station,High Park North 
201,Sunnyside - Gus Ryder Pool,South Parkdale 
202,Parkside Dr / Bloor St W - SMART,High Park-Swansea 
203,Bloor St W / High Park Ave (High Park),High Park-Swansea 
204,Lake Shore Blvd W / Windermere Ave,South Parkdale 
205,Lake Shore Blvd W / The Boulevard Club,South Parkdale 
206,Martin Goodman Trail (Marilyn Bell Park),South Parkdale 
207,Queen St W / Roncesvalles Ave,South Parkdale 
208,Dundas St W / Roncesvalles Green P - SMART,Roncesvalles 
209,Garden Ave / Roncesvalles Ave,Roncesvalles 
210,Wright / Sorauren (Sorauren Park) - SMART,Roncesvalles 
211,Queen St W  /  Fuller Ave - SMART,Roncesvalles 
212,King / Cowan Ave - SMART,South Parkdale 
213,Roncesvalles Ave / Marmaduke St,High Park-Swansea 
214,Bay St / College St (West Side) - SMART,Bay Street Corridor 
215,Thompson St / Broadview Ave - SMART,South Riverdale 
216,Ward Ave / Wallace Ave,Dovercourt-Wallace Emerson-Junction 
217,Sorauren/Geoffrey (Sorauren Park) - SMART,Roncesvalles 
218,Bloor St W / Manning Ave - SMART,Palmerston-Little Italy 
219,Bloor St W / Shaw Ave - SMART,Palmerston-Little Italy 
220,519 Church St - SMART,Church-Yonge Corridor 
221,Lake Shore Blvd W / Ontario Dr,Niagara 
222,Exhibition GO Station,Niagara 
223,Dufferin Gate - SMART,Niagara 
224,Tecumseth St / Queen St W - SMART,Niagara 
225,Yonge St / Bloor St,Church-Yonge Corridor 
226,Howard Park Ave / Dundas St W - SMART,Roncesvalles 
227,Baldwin Ave / Spadina Ave - SMART,Kensington-Chinatown 
228,Dovercourt Rd / Harrison St (Green P) - SMART,Trinity-Bellwoods 
229,St. George St / Russell St - SMART,University 
230,The Royal Ontario Museum (Bloor St Entrance),Bay Street Corridor 
231,Robert St / Bloor St W - SMART,University 
232,John St  / Mercer St - SMART,Waterfront Communities-The Island 
233,Stewart St / Bathurst St  - SMART,Waterfront Communities-The Island 
234,Vanauley St / Queen St W - SMART,Kensington-Chinatown 
235,Dundas St W / St. Patrick St,Kensington-Chinatown 
236,Queen St E / Rushbrooke Ave,South Riverdale 
237,Lower Spadina Ave / Lake Shore Blvd,Waterfront Communities-The Island 
238,Spadina Ave / Adelaide St W,Waterfront Communities-The Island 
239,Queens Quay E / Lower Sherbourne St,Waterfront Communities-The Island 
240,Wychwood Ave / Benson Ave - SMART,Wychwood 
241,Walton St / Elizabeth St - SMART,Bay Street Corridor 
242,Bloor St E / Huntley St - SMART,North St.James Town 
243,Wallace Ave / Symington Ave - SMART,Dovercourt-Wallace Emerson-Junction 
244,Victoria Park Subway Station - SMART,Oakridge 
245,Dundas St E / Pembroke St - SMART,Moss Park 
246,111 Bond St (North of Dundas St E)  - SMART,Church-Yonge Corridor 
247,Toronto Eaton Centre (Yonge St),Bay Street Corridor 
248,Church St / Dundas St E - SMART,Church-Yonge Corridor 
249,Yonge St / Alexander St - SMART,Church-Yonge Corridor 
250,Yonge St / Dundonald St - SMART,Church-Yonge Corridor 
251,Bay St / Charles St - SMART,Bay Street Corridor 
252,Queen's Park Cres E / Grosvenor St - SMART,Bay Street Corridor 
253,Queen St W / James St,Bay Street Corridor 
254,Bloor St W / Balmuto St,Bay Street Corridor 
255,Chorley Park - SMART,Rosedale-Moore Park 
256,Mallon Ave / Jones Ave -SMART,South Riverdale 
257,Rosehill Ave / Avoca Ave - SMART,Rosedale-Moore Park 
258,Charles St E / Jarvis St - SMART,Church-Yonge Corridor 
259,Charles St W / Balmuto St - SMART,Bay Street Corridor 
260,Adelaide St W / Bay St - SMART,Bay Street Corridor 
261,Front St W / Bay St (South Side),Waterfront Communities-The Island 
262,University Ave / King St W - SMART,Bay Street Corridor 
263,Spadina Ave / Harbord St - SMART,University 
264,Gerrard St E / Broadview - SMART,North Riverdale 
265,Queen St E / Pape Ave - SMART,South Riverdale 
266,Humber Bay Shores Park West,Mimico 
267,Humber Bay Shores Park East,Mimico 
268,190 Queens Quay E,Waterfront Communities-The Island 
269,Granby St / Church St - SMART,Church-Yonge Corridor 
270,College St / McCaul St,Kensington-Chinatown 
271,Westmoreland Ave / Fernbank Ave,Dovercourt-Wallace Emerson-Junction 
272,Havelock St / Dufferin Park,Dufferin Grove 
273,Bathurst St / Adelaide St W,Niagara 
274,Mill St / Parliament St,Waterfront Communities-The Island 
275,Primrose Ave / Davenport Rd,Dovercourt-Wallace Emerson-Junction 
276,Winona Dr / Davenport Rd,Wychwood 
277,Queen St E / Woodward Ave,Greenwood-Coxwell 
278,Queen St. E / Rhodes Ave.,Greenwood-Coxwell 
279,Sherbourne St / Isabella St,North St.James Town 
280,Amelia St. / Sumach St.,Cabbagetown-South St.James Town 
281,Coxwell Ave /  Lake Shore Blvd E,The Beaches 
282,Queen St. E / Eastern Ave,The Beaches 
283,Queen St E / Hammersmith Ave,The Beaches 
284,Queen St. E / Spruce Hill Rd.,The Beaches 
285,Hubbard Blvd / Balsam Av,The Beaches 
286,Hubbard Blvd. / Glen Manor Dr.,The Beaches 
287,Lake Shore Blvd E / Knox Ave,The Beaches 
288,Front St W / University Ave (1),Bay Street Corridor 
289,Front St W / University Ave (2),Bay Street Corridor 
290,E Liberty St / Western Battery Rd,Niagara 
291,457 King St. W. at Spadina,Waterfront Communities-The Island 
292,King St W / Charlotte St (West Side),Waterfront Communities-The Island 
293,Davenport Rd / Lansdowne Ave,Corso Italia-Davenport 
294,Davenport Rd / Oakwood Rd - SMART,Dovercourt-Wallace Emerson-Junction 
295,Roxborough St W / Yonge St,Annex 
296,Crawford St / Queen St W,Trinity-Bellwoods 
297,Lee Ave / Queen St E,The Beaches 
298,Coxwell Ave / Plains Rd,Old East York 
299,200 Bloor St. E.,Rosedale-Moore Park 
300,King St E / Victoria St,Church-Yonge Corridor 
301,Simcoe St / Wellington St North,Bay Street Corridor 
302,Bay St / Bloor St W (West Side),Bay Street Corridor 
303,Queen St E / Alton Av,South Riverdale 
304,Gerrard Square Mall (1010 Gerrard St E),South Riverdale 
305,Logan Ave / Bain Ave,North Riverdale 
306,Carlaw Ave / Strathcona Ave,North Riverdale 
307,Blake St / Boultbee Ave,Blake-Jones 
308,Eastern Ave / Winnifred Ave,South Riverdale 
309,Morse St / Eastern Ave,South Riverdale 
310,Alton Ave / Dundas St E (Greenwood Park),South Riverdale 
311,Cherry Beach,South Riverdale 
312,Cherry Beach Sports Field (55 Unwin Ave),South Riverdale 
313,Logan Av / Gerrard St E,North Riverdale 
314,Regal Rd / Dufferin St,Corso Italia-Davenport 
315,Pape Ave / Gamble Ave,Broadview North 
316,Gamble Ave / Broadview Ave,Broadview North 
317,Broadview Ave / Westwood Ave,Broadview North 
318,Pretoria Av / Broadview Av,Playter Estates-Danforth 
319,Cosburn Ave / Donlands Ave,Danforth East York 
320,Fulton Ave / Pape Ave,Broadview North 
321,Tommy Thompson Park (Leslie Street Spit),South Riverdale 
322,Beltline Trail / Chaplin Cres.,Forest Hill North 
323,King St E / Ontario St.,Moss Park 
324,Lake Shore Blvd E / Leslie St,South Riverdale 
325,Rosedale Park (20 Schofield Ave),Rosedale-Moore Park 
326,Concord Av / Dewson St,Palmerston-Little Italy 
327,Hocken Ave./Vaughan Rd.,Wychwood 
328,St Clair Ave W / Bathurst St.,Wychwood 
329,Wells Hill Ave / St Clair Ave W,Casa Loma 
330,Queen St E / Nursewood Rd (Neville Park Loop),The Beaches 
331,Kew Beach Ave / Kenilworth Ave,The Beaches 
332,Fort York Blvd / Bathurst St SMART,Waterfront Communities-The Island 
333,Alma Ave / Gladstone Ave SMART,Little Portugal 
334,Lisgar St / Dundas St SMART,Little Portugal 
335,Dupont St / Emerson Ave SMART,Dovercourt-Wallace Emerson-Junction 
336,Eglinton Ave W / Henning Ave SMART,Yonge-Eglinton 
337,Adelaide St W / Portland St,Waterfront Communities-The Island 
338,George St / King St E,Moss Park 
339,Frederick St / The Esplanade,Waterfront Communities-The Island 
340,Front St E / Scott St,Church-Yonge Corridor 
341,Frobisher Ave / Lascelles Blvd,Yonge-Eglinton 
342,Balliol St / Yonge St  SMART,Mount Pleasant West 
343,Yonge St / Davisville Ave,Yonge-Eglinton 
344,Lawton Blvd / Yonge St,Yonge-St.Clair 
345,Erskine Ave / Yonge St SMART,Mount Pleasant West 
346,Yonge St / Orchard View Blvd,Yonge-Eglinton 
347,Simcoe St / Adelaide St W,Bay Street Corridor 
348,12 Harbour St,Waterfront Communities-The Island 
349,Cumberland Ave / Bay St SMART,Annex 
350,20 Charles St E,Church-Yonge Corridor 
351,D'Arcy St. /McCaul St. SMART,Kensington-Chinatown 
352,Mortimer Ave / Carlaw Ave SMART,Broadview North 
353,Broadview Ave / Danforth Ave,Playter Estates-Danforth 
354,College Park- Gerrard Entrance,Bay Street Corridor 
355,Yonge St / Dundas Sq,Church-Yonge Corridor 
356,Woodbine Subway Green P SMART,East End-Danforth 
357,Dentonia Park,Taylor-Massey 
358,York St / Lakeshore St W - South,Waterfront Communities-The Island 
359,Lower Jarvis / Queens Quay E,Waterfront Communities-The Island 
360,Polson Pier,South Riverdale 
361,Lascelles Blvd / Eglinton Ave W,Yonge-Eglinton 
362,Roehampton Ave / Mount Pleasant Rd,Mount Pleasant West 
363,Victoria St / Queen St E,Church-Yonge Corridor 
364,University Ave / Queen St W,Bay Street Corridor 
